id,title,issuer,version,url,licence_as_found,licence_evidence,bucket,use_in_diacausal,notes,date_checked,checked_by
S12,ADA Standards of Care in Diabetes,American Diabetes Association,2026,(add official URL — not verified in this pass),Copyrighted; project policy = never ingest,Project licence policy,cite_only,Team study only,—,2026-09-19,Claude (draft) — Member B to confirm
S13,LASI Wave 1 India Report,IIPS / MoHFW,2020,(add official URL — not verified in this pass),Reproduction in part or full not permitted (per team worksheet),Team worksheet,cite_only,Numbers in params.yaml,Never ingest.,2026-09-19,Claude (draft) — Member B to confirm
S14,Anjana RM et al. ICMR-INDIAB national study,Lancet Diabetes Endocrinol 2023;11(7):474-489,2023,(add official URL — not verified in this pass),Journal copyright,—,cite_only,Numbers in params.yaml,—,2026-09-19,Claude (draft) — Member B to confirm
S15,StatPearls; Endotext (NCBI Bookshelf),NCBI Bookshelf,living,(add official URL — not verified in this pass),CC BY-NC-ND 4.0 (project policy; not re-checked today),Project licence policy,verbatim_only,Background definitions,Show unaltered excerpts with attribution; never paraphrase or summarise.,2026-09-19,Claude (draft) — Member B to confirm
S16,ICD-11,WHO,current,(add official URL — not verified in this pass),CC BY-ND 3.0 IGO (project policy; not re-checked today),Project licence policy,verbatim_only,Codes and titles,No adaptation.,2026-09-19,Claude (draft) — Member B to confirm
S17,"LDNOOBW List of Dirty, Naughty, Obscene and Otherwise Bad Words (en, hi)",LDNOOBW contributors (GitHub),"master, fetched 2026-09-19",https://github.com/LDNOOBW/List-of-Dirty-Naughty-Obscene-and-Otherwise-Bad-Words,CC BY 4.0,LICENSE file in the repo,cleared_ingest,shared/guard_rules/rules.v1.json,Attribution required: add docs/ATTRIBUTION.md. We modified it (clinical terms removed).,2026-09-19,Claude (draft) — Member B to confirm
S18,PMBJP / Jan Aushadhi product and MRP list,"PMBI, Dept of Pharmaceuticals, GoI",download current list,(add official URL — not verified in this pass),Factual government price data,—,cite_only_structured,monthly_cost_inr in params.yaml,Date-stamp every price. Only a 2022 sitagliptin launch price found so far.,2026-09-19,Claude (draft) — Member B to confirm
S19,FDA Drug Safety Communication: DPP-4 inhibitors for type 2 diabetes may cause severe joint pain,US FDA,2015-08-28,https://www.fda.gov/drugs/drug-safety-and-availability/fda-drug-safety-communication-fda-warns-dpp-4-inhibitors-type-2-diabetes-may-cause-severe-joint-pain,US federal government work,FDA-authored text (17 U.S.C. 105),cleared_ingest,DPP-4i safety (arthralgia) on the evidence tab,"Ingested: diacausal_rag/corpus/fda_dsc_2015_dpp4_joint_pain.txt, from the Internet Archive copy of the fda.gov page (scripts/fetch_fda_dsc.py); brand tables and references left out. US label context, not Indian CDSCO labelling.",2026-09-26,Rhian Roy Kuttikadan (team)
S20,FDA Drug Safety Communication: SGLT2 inhibitor labels add warnings about ketoacidosis and serious urinary tract infections,US FDA,2015-12-04,https://www.fda.gov/drugs/drug-safety-and-availability/fda-revises-labels-sglt2-inhibitors-diabetes-include-warnings-about-too-much-acid-blood-and-serious,US federal government work,FDA-authored text (17 U.S.C. 105),cleared_ingest,SGLT2i ketoacidosis / DKA history rule context,"Ingested: diacausal_rag/corpus/fda_dsc_2015_sglt2_ketoacidosis_uti.txt, from the Internet Archive copy of the fda.gov page (scripts/fetch_fda_dsc.py); brand tables and references left out. US label context, not Indian CDSCO labelling.",2026-09-26,Rhian Roy Kuttikadan (team)
S21,FDA Drug Safety Communication: canagliflozin and dapagliflozin kidney warnings strengthened (acute kidney injury),US FDA,2016-06-14,https://www.fda.gov/drugs/drug-safety-and-availability/fda-drug-safety-communication-fda-strengthens-kidney-warnings-diabetes-medicines-canagliflozin,US federal government work,FDA-authored text (17 U.S.C. 105),cleared_ingest,SGLT2i kidney context for eGFR rules,"Ingested: diacausal_rag/corpus/fda_dsc_2016_canagliflozin_dapagliflozin_kidney.txt, from the Internet Archive copy of the fda.gov page (scripts/fetch_fda_dsc.py); brand tables and references left out. US label context, not Indian CDSCO labelling.",2026-09-26,Rhian Roy Kuttikadan (team)
S22,FDA Drug Safety Communication: rare serious infection of the genital area (Fournier's gangrene) with SGLT2 inhibitors,US FDA,2018-08-29,https://www.fda.gov/drugs/drug-safety-and-availability/fda-warns-about-rare-occurrences-serious-infection-genital-area-sglt2-inhibitors-diabetes,US federal government work,FDA-authored text (17 U.S.C. 105),cleared_ingest,SGLT2i safety on the evidence tab,"Ingested: diacausal_rag/corpus/fda_dsc_2018_sglt2_genital_infection.txt, from the Internet Archive copy of the fda.gov page (scripts/fetch_fda_dsc.py); brand tables and references left out. US label context, not Indian CDSCO labelling.",2026-09-26,Rhian Roy Kuttikadan (team)
S23,FDA Drug Safety Communication: Boxed Warning about leg and foot amputations removed for canagliflozin,US FDA,2020-08-26,https://www.fda.gov/drugs/drug-safety-and-availability/fda-removes-boxed-warning-about-risk-leg-and-foot-amputations-diabetes-medicine-canagliflozin,US federal government work,FDA-authored text (17 U.S.C. 105),cleared_ingest,SGLT2i safety history on the evidence tab,"Ingested: diacausal_rag/corpus/fda_dsc_2020_canagliflozin_amputation.txt, from the Internet Archive copy of the fda.gov page (scripts/fetch_fda_dsc.py); brand tables and references left out. US label context, not Indian CDSCO labelling.",2026-09-26,Rhian Roy Kuttikadan (team)
X01,Managing Diabetes Mellitus: Guide for Health Workers,"Royal Government of Bhutan, Ministry of Health",August 2007,—,—,—,exclude,—,Not Indian; written before SGLT2 inhibitors were approved. Delete from RAG/.,2026-09-19,Claude (draft) — Member B to confirm
X02,Diabetes Care 2026;49(8):1323-1329 (ambient temperature and hypoglycaemia in type 1 diabetes),American Diabetes Association,2026,https://doi.org/10.2337/dc25-2383,(c) ADA; educational non-commercial use if cited and unaltered,PDF footer,exclude,—,Type 1 diabetes = outside frozen scope. Delete from RAG/.,2026-09-19,Claude (draft) — Member B to confirm
X03,"'Diabetes handbooks, ency...' link list (AI-generated)",unknown,—,—,—,—,exclude,—,"Not a source; recommends ADA as primary, which conflicts with our policy. Delete from RAG/.",2026-09-19,Claude (draft) — Member B to confirm
